============================================================================================
ANSOFT                                                                              06/02/25
Terminal Z Parameter Plot 1                                                         16:09:12

--------------------------------------------------------------------------------------------
        Freq [GHz]   re(Zt(flux_line_1_T1,flux_line_1_T1)) []   im(Zt(flux_line_1_T1,flux_line_1_T1)) []
                                                                                                        
 1.000000000000000                         -0.000000000000506                       -503.282177053998794
 1.023333333333333                          0.000007865605390                       -491.358411265514064
 1.046666666666667                          0.000015146528422                       -479.956065792816560
 1.070000000000000                          0.000021892009539                       -469.041021974735543
 1.093333333333333                          0.000028146108343                       -458.582073551945768
 1.116666666666667                          0.000033948343947                       -448.550622385429619
 1.140000000000000                          0.000039334248672                       -438.920411542827935
 1.163333333333333                          0.000044335842940                       -429.667290506182837
 1.186666666666667                          0.000048982046782                       -420.769008079874425
 1.210000000000000                          0.000053299032606                       -412.205029259606988
 1.233333333333333                          0.000057310536180                       -403.956372889222109
 1.256666666666667                          0.000061038126994                       -396.005467403468174
 1.280000000000000                          0.000064501439858                       -388.336022348896449
 1.303333333333333                          0.000067718384343                       -380.932913705557155
 1.326666666666666                          0.000070705323830                       -373.782081310413673
 1.350000000000000                          0.000073477234613                       -366.870436918310247
 1.373333333333333                          0.000076047846854                       -360.185781635350452
 1.396666666666667                          0.000078429767603                       -353.716731628627031
 1.420000000000000                          0.000080634592593                       -347.452651160326297
 1.443333333333333                          0.000082673003179                       -341.383592117358148
 1.466666666666667                          0.000084554851034                       -335.500239313138309
 1.490000000000000                          0.000086289237734                       -329.793860928785307
 1.513333333333333                          0.000087884583324                       -324.256263539040276
 1.536666666666666                          0.000089348689510                       -318.879751235587207
 1.560000000000000                          0.000090688790797                       -313.657088418782962
 1.583333333333333                          0.000091911609170                       -308.581465879364089
 1.606666666666666                          0.000093023395423                       -303.646469835674452
 1.630000000000000                          0.000094029970715                       -298.846053630256790
 1.653333333333333                          0.000094936762903                       -294.174511823088835
 1.676666666666667                          0.000095748838704                       -289.626456447995906
 1.700000000000000                          0.000096470933258                       -285.196795224396908
 1.723333333333333                          0.000097107478081                       -280.880711539075264
 1.746666666666667                          0.000097662624304                       -276.673646032442548
 1.770000000000000                          0.000098140265250                       -272.571279641245951
 1.793333333333333                          0.000098544056330                       -268.569517965062630
 1.816666666666666                          0.000098877433729                       -264.664476837561722
 1.840000000000000                          0.000099143630522                       -260.852468995593995
 1.863333333333333                          0.000099345692263                       -257.129991749870499
 1.886666666666666                          0.000099486491074                       -253.493715570524643
 1.910000000000000                          0.000099568737839                       -249.940473509319929
 1.933333333333333                          0.000099594994442                       -246.467251387820511
 1.956666666666667                          0.000099567684476                       -243.071178687587548
 1.980000000000000                          0.000099489102131                       -239.749520084486477
 2.003333333333333                          0.000099361422111                       -236.499667574593502
 2.026666666666666                          0.000099186708004                       -233.319133144021606
 2.050000000000000                          0.000098966919205                       -230.205541939328157
 2.073333333333333                          0.000098703918422                       -227.156625899072338
 2.096666666666667                          0.000098399478158                       -224.170217810592845
 2.120000000000000                          0.000098055286356                       -221.244245759250134
 2.143333333333333                          0.000097672952538                       -218.376727940222821
 2.166666666666667                          0.000097254012177                       -215.565767805525525
 2.190000000000000                          0.000096799931605                       -212.809549521251199
 2.213333333333333                          0.000096312113231                       -210.106333712139190
 2.236666666666666                          0.000095791898328                       -207.454453472490457
 2.260000000000000                          0.000095240571859                       -204.852310624180689
 2.283333333333333                          0.000094659364706                       -202.298372204092942
 2.306666666666667                          0.000094049458836                       -199.791167164725891
 2.330000000000000                          0.000093411987905                       -197.329283273035770
 2.353333333333333                          0.000092748042657                       -194.911364193749222
 2.376666666666666                          0.000092058671180                       -192.536106744473216
 2.400000000000000                          0.000091344882724                       -190.202258310909144
 2.423333333333333                          0.000090607649718                       -187.908614411377556
 2.446666666666666                          0.000089847909499                       -185.654016400688761
 2.470000000000000                          0.000089066566742                       -183.437349304143225
 2.493333333333333                          0.000088264495184                       -181.257539773136841
 2.516666666666667                          0.000087442538883                       -179.113554154479033
 2.540000000000000                          0.000086601514458                       -177.004396666111290
 2.563333333333333                          0.000085742212386                       -174.929107672445582
 2.586666666666666                          0.000084865398050                       -172.886762053033351
 2.610000000000000                          0.000083971813525                       -170.876467658722646
 2.633333333333333                          0.000083062178697                       -168.897363849877479
 2.656666666666666                          0.000082137192077                       -166.948620111614900
 2.680000000000000                          0.000081197532150                       -165.029434741363417
 2.703333333333333                          0.000080243858662                       -163.139033604375527
 2.726666666666667                          0.000079276813011                       -161.276668953121145
 2.750000000000000                          0.000078297019334                       -159.441618306769840
 2.773333333333333                          0.000077305085545                       -157.633183387221294
 2.796666666666666                          0.000076301604102                       -155.850689108380834
 2.820000000000000                          0.000075287152118                       -154.093482615598361
 2.843333333333333                          0.000074262293033                       -152.360932372384639
 2.866666666666667                          0.000073227576613                       -150.652427291716322
 2.890000000000000                          0.000072183539518                       -148.967375909403756
 2.913333333333333                          0.000071130706315                       -147.305205597168595
 2.936666666666667                          0.000070069589734                       -145.665361813217714
 2.960000000000000                          0.000069000691137                       -144.047307388247305
 2.983333333333333                          0.000067924501060                       -142.450521844935764
 3.006666666666666                          0.000066841499561                       -140.874500749106318
 3.030000000000000                          0.000065752157134                       -139.318755090851397
 3.053333333333333                          0.000064656934229                       -137.782810694016490
 3.076666666666667                          0.000063556282419                       -136.266207652537645
 3.100000000000000                          0.000062450644319                       -134.768499792216602
 3.123333333333333                          0.000061340454127                       -133.289254156604073
 3.146666666666667                          0.000060226137766                       -131.828050515738767
 3.170000000000000                          0.000059108113289                       -130.384480896565549
